student_id,name,institution,degree,graduation_year,cgpa,technical_score,communication_score,behavioral_score,cognitive_score,resume_score,psychometric_behavioral,overall_score,experience_months,projects_count,is_placed,salary_lpa,role,placement_prob,technical_communication_balance,cgpa_overall_ratio
STU0027,Student_8454_27,IIT Kharagpur,B.Tech IT,2027,8.1,100.0,78.6,80.4,84.3,87.8,73.8,88.2,0,2,0,0.0,Not Placed,92.5,1.272264631043257,0.9183673469387755
STU0028,Student_3536_28,IIT Kanpur,B.Sc Data Science,2025,6.6,60.3,34.9,37.6,100.0,25.8,57.0,53.2,0,0,1,5.0,Junior Developer,61.2,1.7277936962750717,1.2406015037593985
STU0029,Student_8811_29,Anna University,B.Tech ME,2025,6.9,86.8,61.7,32.7,59.3,77.6,64.2,65.9,0,3,1,6.7,Full Stack Developer,73.2,1.406807131280389,1.047040971168437
STU0030,Student_7615_30,IIT Bombay,B.E CSE,2027,7.6,52.0,68.5,42.6,39.6,43.8,65.3,50.7,0,1,0,0.0,Not Placed,56.8,0.7591240875912408,1.4990138067061143
STU0031,Student_9565_31,NIT Trichy,B.Sc Data Science,2025,6.5,62.7,51.5,53.2,52.0,46.2,58.0,55.3,6,0,1,4.3,QA Engineer,59.7,1.2174757281553399,1.1754068716094033
STU0032,Student_6180_32,NSIT Delhi,B.Tech ECE,2025,9.6,73.1,32.3,60.4,100.0,70.9,56.5,66.2,24,0,0,0.0,Not Placed,72.4,2.263157894736842,1.4501510574018126
STU0033,Student_4492_33,Anna University,B.Sc Data Science,2025,9.0,50.8,42.2,44.5,56.1,40.0,41.8,47.5,12,1,0,0.0,Not Placed,60.7,1.2037914691943126,1.894736842105263
STU0034,Student_3584_34,SRM Chennai,B.Sc Data Science,2027,7.2,40.0,52.5,20.0,63.4,33.6,59.2,41.4,0,2,0,0.0,Not Placed,52.2,0.7619047619047619,1.7391304347826086
STU0035,Student_5905_35,BITS Pilani,B.Tech ECE,2025,8.9,65.2,30.9,47.4,73.0,45.0,61.8,53.9,6,0,0,0.0,Not Placed,59.7,2.110032362459547,1.6512059369202228
STU0036,Student_5616_36,IIT Hyderabad,B.E CSE,2027,7.6,78.2,78.6,24.7,100.0,39.2,69.3,67.0,12,1,0,0.0,Not Placed,68.3,0.994910941475827,1.1343283582089552
STU0037,Student_5114_37,IIT Madras,B.Tech ECE,2027,7.8,52.5,33.7,22.7,61.2,52.2,59.3,44.1,6,0,1,3.2,QA Engineer,51.0,1.5578635014836795,1.7687074829931972
STU0038,Student_8239_38,Anna University,B.Tech IT,2027,8.6,71.1,62.0,54.0,57.6,50.2,72.4,61.7,0,2,1,8.1,QA Engineer,62.6,1.146774193548387,1.393841166936791
STU0039,Student_3426_39,VIT Vellore,B.Tech ME,2025,7.5,67.3,66.3,29.8,78.2,51.5,70.6,59.7,6,3,0,0.0,Not Placed,61.6,1.0150829562594268,1.2562814070351758
STU0040,Student_6862_40,IIT Kanpur,B.E CSE,2027,8.5,81.3,76.5,49.1,80.2,61.3,68.0,71.7,12,1,0,0.0,Not Placed,71.3,1.0627450980392157,1.1854951185495117
STU0041,Student_3532_41,IIT Kanpur,B.Tech ME,2025,7.6,76.9,41.6,83.8,54.9,47.0,76.0,64.9,6,1,1,7.7,Data Analyst,72.1,1.8485576923076923,1.1710323574730352
STU0042,Student_5065_42,IIT Kharagpur,B.Tech ME,2027,8.2,77.6,54.1,30.4,71.1,53.9,68.5,60.1,12,0,0,0.0,Not Placed,62.3,1.4343807763401109,1.3643926788685523
STU0043,Student_8541_43,NIT Trichy,B.Sc Data Science,2025,6.5,58.6,47.2,25.0,57.7,49.8,60.8,48.6,0,0,0,0.0,Not Placed,50.1,1.2415254237288136,1.337448559670782
STU0044,Student_2137_44,NSIT Delhi,B.Sc Data Science,2026,6.9,69.6,27.0,20.0,59.2,53.2,72.9,48.0,0,0,1,7.4,Junior Developer,55.8,2.5777777777777775,1.4375
STU0045,Student_5279_45,IIT Delhi,B.Sc Data Science,2025,8.5,61.8,43.0,20.0,69.7,46.0,59.4,49.3,0,5,1,6.6,Technical Support,53.8,1.4372093023255814,1.7241379310344829
STU0046,Student_2894_46,VIT Vellore,B.E CSE,2026,8.1,95.7,65.3,64.6,80.4,71.7,69.9,78.7,6,3,1,9.2,Full Stack Developer,76.3,1.4655436447166923,1.0292249047013977
STU0047,Student_4228_47,NIT Trichy,B.Tech IT,2025,7.6,49.5,35.0,38.7,91.8,51.1,68.3,50.9,6,2,0,0.0,Not Placed,60.3,1.4142857142857144,1.493123772102161
STU0048,Student_3041_48,DTU Delhi,B.Sc Data Science,2027,8.5,68.7,80.9,26.7,57.4,47.7,52.1,58.9,0,0,1,6.3,Product Analyst,63.2,0.8491965389369592,1.4431239388794568
STU0049,Student_7211_49,BITS Pilani,B.Tech ME,2027,6.6,68.0,52.7,74.6,84.3,47.5,65.2,66.7,0,1,1,6.6,Technical Support,67.4,1.2903225806451613,0.9895052473763118
STU0050,Student_6279_50,SRM Chennai,B.Tech AI&ML,2026,5.9,100.0,87.7,51.6,44.3,96.2,75.8,79.1,0,0,1,9.3,Full Stack Developer,78.9,1.1402508551881414,0.7458912768647282
STU0051,Student_9445_51,BITS Pilani,BCA,2025,5.6,53.0,37.2,32.7,63.2,49.9,56.7,47.0,6,0,0,0.0,Not Placed,52.6,1.4247311827956988,1.1914893617021276
STU0052,Student_4262_52,IIT Delhi,B.Tech CSE,2025,7.6,75.3,63.4,24.9,47.0,75.6,61.7,58.6,0,3,1,7.9,Software Engineer,61.2,1.1876971608832807,1.2969283276450512
STU0053,Student_4185_53,DTU Delhi,B.Tech IT,2026,9.4,67.3,64.8,41.6,100.0,74.9,71.2,67.3,6,0,1,7.5,QA Engineer,71.6,1.0385802469135803,1.3967310549777119
STU0054,Student_9486_54,SRM Chennai,B.Tech CSE,2027,8.3,92.4,50.2,67.8,85.9,52.8,50.3,74.1,0,2,0,0.0,Not Placed,75.2,1.840637450199203,1.1201079622132255
STU0055,Student_9702_55,Anna University,BCA,2026,7.2,79.4,78.1,48.9,94.4,46.9,59.4,72.0,0,0,1,7.1,Full Stack Developer,73.9,1.0166453265044815,1.0
STU0056,Student_8777_56,SRM Chennai,B.Sc Data Science,2025,8.0,64.3,20.0,37.0,50.4,59.5,58.5,47.4,6,0,1,6.8,Technical Support,59.0,3.215,1.6877637130801688
STU0057,Student_2269_57,DTU Delhi,B.Sc Data Science,2025,6.9,43.8,29.7,43.5,55.2,41.1,54.3,42.4,0,1,1,3.5,QA Engineer,45.6,1.4747474747474747,1.6273584905660379
STU0058,Student_3503_58,DTU Delhi,B.E CSE,2025,7.4,44.3,22.7,20.0,99.5,35.9,59.7,42.6,0,1,1,3.5,QA Engineer,48.2,1.9515418502202642,1.7370892018779343
STU0059,Student_1320_59,NSIT Delhi,B.Tech IT,2026,7.4,60.6,51.6,50.0,62.0,41.6,49.0,55.0,0,2,1,6.0,Technical Support,54.4,1.1744186046511629,1.3454545454545455
STU0060,Student_4613_60,SRM Chennai,B.E CSE,2026,5.7,92.3,89.3,50.9,78.6,77.6,87.7,79.9,6,2,1,7.1,Full Stack Developer,75.9,1.0335946248600223,0.7133917396745932
STU0061,Student_8657_61,IIT Delhi,B.Tech CSE,2026,7.3,45.9,20.0,31.2,58.7,20.0,51.0,37.1,0,1,0,0.0,Not Placed,46.1,2.295,1.967654986522911
STU0062,Student_8564_62,IIT Delhi,B.Tech CSE,2026,9.5,82.6,57.7,76.2,71.2,55.8,77.5,72.0,0,5,1,8.0,Data Analyst,76.5,1.4315424610051992,1.3194444444444444
STU0063,Student_7906_63,IIT Kharagpur,B.Tech ECE,2026,6.3,61.2,29.7,20.0,83.9,71.9,60.3,51.1,24,1,0,0.0,Not Placed,49.7,2.0606060606060606,1.2328767123287672
STU0064,Student_2124_64,NSIT Delhi,B.Tech CSE,2025,6.7,55.3,29.8,20.0,70.7,34.2,62.6,43.3,0,1,1,2.9,QA Engineer,53.7,1.855704697986577,1.5473441108545036
STU0065,Student_2874_65,IIT Hyderabad,B.E CSE,2026,7.2,46.8,24.1,41.7,77.5,25.7,66.7,43.7,0,2,0,0.0,Not Placed,51.7,1.9419087136929458,1.6475972540045765
STU0066,Student_2876_66,NSIT Delhi,B.Tech ME,2026,5.5,75.9,43.2,55.8,58.6,39.0,57.8,59.1,18,1,1,5.3,Full Stack Developer,56.0,1.7569444444444444,0.9306260575296108
STU0067,Student_4249_67,IIT Bombay,B.E CSE,2025,7.8,46.9,42.4,20.0,69.0,23.0,58.7,41.5,6,1,1,4.6,QA Engineer,51.3,1.1061320754716981,1.8795180722891567
STU0068,Student_1672_68,NIT Trichy,B.Tech IT,2027,6.5,57.3,55.2,24.0,82.5,32.3,74.3,51.5,12,0,1,4.0,Technical Support,53.5,1.0380434782608694,1.2621359223300972
STU0069,Student_6934_69,BITS Pilani,B.Tech AI&ML,2027,4.5,49.1,43.0,25.8,75.6,32.0,61.5,45.5,0,2,1,2.7,Junior Developer,42.3,1.1418604651162791,0.989010989010989
STU0070,Student_9817_70,NSIT Delhi,B.Tech AI&ML,2026,8.9,70.1,54.1,34.6,62.7,50.9,63.6,56.8,0,3,0,0.0,Not Placed,63.9,1.2957486136783734,1.5669014084507042
STU0071,Student_2419_71,IIT Kharagpur,B.Tech AI&ML,2025,7.8,100.0,83.1,54.1,88.0,75.1,54.4,83.2,0,3,1,9.9,Data Analyst,86.3,1.203369434416366,0.9375
STU0072,Student_3979_72,SRM Chennai,B.E CSE,2026,5.3,58.0,40.9,65.0,74.9,43.7,54.9,57.1,12,1,1,5.1,Junior Developer,59.3,1.4180929095354524,0.9281961471103327
STU0073,Student_9464_73,IIT Kanpur,B.Tech ECE,2025,7.8,80.4,34.1,68.8,75.1,59.4,82.6,65.9,0,2,1,8.2,Full Stack Developer,72.0,2.3577712609970676,1.1836115326251895
STU0074,Student_8342_74,NSIT Delhi,B.Tech CSE,2025,7.7,70.0,42.1,26.7,82.5,45.7,61.5,55.2,0,1,1,5.6,Junior Developer,59.0,1.66270783847981,1.394927536231884
STU0075,Student_9698_75,NIT Trichy,B.Tech IT,2027,8.1,71.7,65.7,33.8,66.0,45.6,65.1,59.5,0,0,1,6.6,Technical Support,65.5,1.091324200913242,1.361344537815126
STU0076,Student_4155_76,NIT Trichy,B.Tech ECE,2027,8.4,46.6,45.6,52.3,76.2,59.8,52.7,53.3,0,0,0,0.0,Not Placed,59.1,1.0219298245614035,1.575984990619137
STU0077,Student_8933_77,IIT Kharagpur,B.Sc Data Science,2025,5.4,94.9,76.3,56.0,74.2,62.4,80.2,77.0,0,1,1,7.3,Data Analyst,77.5,1.2437745740498036,0.7012987012987013
STU0078,Student_5494_78,IIT Madras,B.Tech CSE,2027,7.6,79.5,62.9,51.7,58.1,69.3,82.8,66.4,6,2,0,0.0,Not Placed,67.6,1.2639109697933228,1.1445783132530118
STU0079,Student_2680_79,IIT Madras,B.Sc Data Science,2026,9.4,54.8,23.5,30.6,70.8,57.0,63.8,46.3,18,1,1,7.1,Technical Support,56.5,2.331914893617021,2.0302375809935205
STU0080,Student_2070_80,VIT Vellore,B.Tech AI&ML,2025,7.3,56.5,24.3,20.0,82.3,46.0,48.6,45.6,0,2,0,0.0,Not Placed,52.9,2.325102880658436,1.6008771929824561
STU0081,Student_5978_81,IIT Bombay,B.E CSE,2025,7.1,98.4,65.0,32.0,66.3,75.4,54.8,71.3,0,1,1,9.2,Full Stack Developer,74.5,1.5138461538461538,0.9957924263674615
STU0082,Student_8381_82,SRM Chennai,B.Sc Data Science,2027,7.2,78.9,83.0,67.6,66.0,49.9,79.4,72.6,24,0,1,7.4,Full Stack Developer,78.0,0.9506024096385542,0.9917355371900827
STU0083,Student_4404_83,BITS Pilani,B.E CSE,2026,7.5,64.5,48.1,36.1,61.4,45.1,60.2,53.1,0,1,1,4.7,QA Engineer,60.2,1.340956340956341,1.4124293785310733
STU0084,Student_8699_84,IIT Kharagpur,B.Tech CSE,2025,6.6,67.1,43.2,67.3,30.2,66.8,57.5,56.8,6,3,1,6.6,QA Engineer,57.6,1.5532407407407405,1.1619718309859155
STU0085,Student_4241_85,VIT Vellore,B.Tech ECE,2027,7.1,57.6,20.0,20.5,53.3,67.1,73.4,43.0,0,0,1,4.1,QA Engineer,47.3,2.88,1.6511627906976745
STU0086,Student_6039_86,IIT Hyderabad,B.Sc Data Science,2026,8.4,42.4,21.8,34.3,51.7,42.5,57.3,38.1,6,3,0,0.0,Not Placed,44.0,1.9449541284403669,2.204724409448819
STU0087,Student_9199_87,Anna University,B.Tech AI&ML,2026,8.4,73.9,46.3,65.2,53.8,66.5,66.4,62.9,6,0,1,6.9,Technical Support,64.0,1.596112311015119,1.3354531001589824
STU0088,Student_4750_88,BITS Pilani,B.Tech CSE,2027,7.9,40.0,41.8,20.7,62.2,44.6,49.4,40.3,6,0,0,0.0,Not Placed,51.2,0.9569377990430623,1.9602977667493797
STU0089,Student_9502_89,BITS Pilani,B.Tech AI&ML,2026,5.6,77.1,34.8,77.9,38.8,82.1,66.1,63.6,24,1,1,6.4,Data Analyst,60.2,2.2155172413793105,0.8805031446540881
STU0090,Student_7690_90,NIT Trichy,BCA,2027,6.8,73.0,50.5,63.6,71.7,60.2,64.0,65.1,0,3,1,5.9,Technical Support,62.5,1.4455445544554455,1.044546850998464
STU0091,Student_1601_91,SRM Chennai,B.Tech ECE,2026,7.9,30.8,20.0,31.9,72.6,22.4,62.0,34.3,12,0,1,3.3,Junior Developer,40.4,1.54,2.303206997084548
STU0092,Student_9889_92,SRM Chennai,B.Tech IT,2025,6.9,49.4,37.5,20.0,76.1,20.0,68.9,42.2,0,0,1,4.7,Junior Developer,45.2,1.3173333333333332,1.6350710900473933
STU0093,Student_5375_93,Anna University,B.Tech ME,2026,7.8,84.7,84.2,69.1,42.4,52.4,64.7,71.9,6,0,1,6.7,Full Stack Developer,73.8,1.005938242280285,1.0848400556328233
STU0094,Student_3594_94,IIT Kharagpur,B.Tech CSE,2027,8.1,50.5,38.1,20.0,60.8,23.5,48.9,40.8,0,0,1,5.6,QA Engineer,48.9,1.3254593175853018,1.9852941176470589
STU0095,Student_3522_95,SRM Chennai,B.Sc Data Science,2027,6.3,86.1,46.0,99.0,77.4,71.1,68.9,77.9,0,1,1,7.2,Data Analyst,77.8,1.8717391304347826,0.8087291399229781
STU0096,Student_7284_96,IIT Kanpur,B.Tech ME,2025,6.8,67.4,85.6,38.7,87.2,45.5,76.7,66.1,0,3,0,0.0,Not Placed,64.4,0.7873831775700936,1.0287443267776097
STU0097,Student_9318_97,IIT Kharagpur,B.Tech CSE,2026,6.7,100.0,80.6,49.9,79.5,91.7,62.8,82.2,0,2,0,0.0,Not Placed,83.2,1.240694789081886,0.8150851581508516
STU0098,Student_3434_98,SRM Chennai,B.Tech AI&ML,2026,6.6,60.0,40.9,47.2,72.7,32.0,68.9,52.7,0,3,0,0.0,Not Placed,54.4,1.466992665036675,1.2523719165085387
STU0099,Student_4090_99,DTU Delhi,B.E CSE,2027,8.2,86.6,73.1,60.2,68.9,49.4,70.6,72.2,0,1,0,0.0,Not Placed,74.4,1.1846785225718195,1.1357340720221607
STU0100,Student_8749_100,DTU Delhi,B.Tech IT,2026,7.8,39.5,20.0,42.6,69.4,39.8,61.5,40.7,6,0,0,0.0,Not Placed,52.9,1.975,1.9164619164619163
STU0101,Student_1606_101,IIT Delhi,BCA,2025,8.6,54.7,39.7,24.5,63.5,40.0,60.2,45.5,0,0,1,5.3,Technical Support,58.3,1.3778337531486147,1.89010989010989
STU0102,Student_3529_102,IIT Bombay,B.Tech AI&ML,2026,9.0,47.1,30.2,20.3,91.7,40.0,57.6,44.3,6,3,0,0.0,Not Placed,52.1,1.5596026490066226,2.0316027088036117
STU0103,Student_9742_103,VIT Vellore,BCA,2027,7.8,82.8,59.2,68.9,62.2,83.1,75.6,72.2,6,0,1,8.8,Software Engineer,76.6,1.3986486486486485,1.080332409972299
STU0104,Student_5708_104,IIT Kanpur,B.Tech ECE,2026,7.0,94.1,89.5,47.0,63.7,71.9,56.8,77.0,0,2,1,9.0,Software Engineer,82.1,1.0513966480446926,0.9090909090909091
STU0105,Student_1474_105,IIT Madras,BCA,2025,6.3,49.6,34.2,34.0,93.3,27.7,65.7,47.8,0,2,1,2.5,Junior Developer,49.0,1.4502923976608186,1.3179916317991633
STU0106,Student_3950_106,IIT Delhi,B.Tech ME,2025,7.4,78.5,38.1,54.0,72.5,68.7,81.8,63.6,18,0,1,7.6,Data Analyst,68.3,2.0603674540682415,1.1635220125786163
STU0107,Student_8555_107,BITS Pilani,B.Sc Data Science,2026,6.7,54.4,28.7,22.6,60.4,57.8,64.8,44.1,6,0,1,5.2,Technical Support,47.3,1.8954703832752613,1.5192743764172336
STU0108,Student_8237_108,NIT Trichy,B.Sc Data Science,2027,6.5,74.4,43.8,56.0,73.0,41.4,83.0,61.1,0,1,0,0.0,Not Placed,67.8,1.6986301369863017,1.0638297872340425
STU0109,Student_7302_109,SRM Chennai,B.Tech ECE,2025,6.8,57.2,44.4,40.4,79.9,69.9,58.6,56.0,0,5,1,4.0,Junior Developer,57.3,1.2882882882882885,1.2142857142857142
STU0110,Student_7484_110,IIT Kharagpur,B.Tech CSE,2027,5.8,50.4,34.8,62.5,62.2,43.0,70.2,50.7,24,3,0,0.0,Not Placed,55.8,1.4482758620689655,1.1439842209072977
STU0111,Student_9138_111,IIT Kharagpur,B.E CSE,2027,10.0,54.4,30.7,51.4,80.2,65.7,64.3,54.1,6,2,1,5.0,Technical Support,66.3,1.771986970684039,1.8484288354898335
STU0112,Student_3240_112,BITS Pilani,B.Tech ECE,2027,8.2,87.2,73.3,61.4,86.0,83.8,78.8,78.7,0,0,1,8.1,Full Stack Developer,81.7,1.189631650750341,1.0419313850063532
STU0113,Student_5835_113,NIT Trichy,B.Tech IT,2025,7.3,67.9,65.7,26.1,75.5,49.6,72.4,58.4,12,1,0,0.0,Not Placed,59.3,1.0334855403348555,1.25
STU0114,Student_9221_114,IIT Kharagpur,B.Tech ME,2026,7.7,65.9,25.8,53.0,79.7,78.7,64.6,58.6,24,0,0,0.0,Not Placed,67.2,2.554263565891473,1.3139931740614335
STU0115,Student_6549_115,NSIT Delhi,B.Tech ECE,2026,7.8,96.5,66.2,63.0,79.1,79.5,68.0,79.4,6,5,1,10.4,Full Stack Developer,85.5,1.457703927492447,0.9823677581863979
STU0116,Student_6992_116,IIT Bombay,B.Tech IT,2025,8.8,44.5,33.1,20.0,87.9,20.0,61.0,41.4,6,1,1,4.0,Junior Developer,48.7,1.3444108761329305,2.1256038647342996
STU0117,Student_7086_117,IIT Bombay,B.E CSE,2026,9.4,63.7,36.3,72.1,48.3,24.6,62.7,53.7,0,3,0,0.0,Not Placed,58.0,1.7548209366391188,1.7504655493482308
STU0118,Student_4626_118,BITS Pilani,B.Tech ECE,2027,6.3,79.2,59.1,37.3,50.8,73.8,67.7,62.0,0,1,0,0.0,Not Placed,67.2,1.3401015228426396,1.0161290322580645
STU0119,Student_3290_119,IIT Madras,B.Tech CSE,2026,9.7,43.6,20.0,20.0,69.3,37.8,61.5,37.4,0,1,1,3.9,Junior Developer,54.9,2.18,2.593582887700535
STU0120,Student_9850_120,VIT Vellore,B.Tech ME,2026,6.0,93.9,64.5,76.4,75.1,80.6,74.3,80.4,6,3,0,0.0,Not Placed,79.2,1.4558139534883723,0.7462686567164178
STU0121,Student_5583_121,IIT Madras,BCA,2025,8.3,91.6,67.1,67.7,68.7,90.5,76.4,78.4,12,0,0,0.0,Not Placed,80.1,1.3651266766020864,1.058673469387755
STU0122,Student_7018_122,Anna University,BCA,2025,7.5,36.4,27.4,20.0,82.6,21.3,47.0,36.7,0,0,1,2.5,Technical Support,43.3,1.3284671532846715,2.0435967302452314
STU0123,Student_1349_123,IIT Madras,BCA,2025,7.0,20.0,20.0,25.7,81.8,21.1,54.4,30.5,0,2,0,0.0,Not Placed,42.2,1.0,2.2950819672131146
STU0124,Student_4394_124,IIT Hyderabad,B.E CSE,2025,7.5,41.8,51.8,40.9,66.7,33.8,51.0,46.6,0,5,1,4.6,QA Engineer,50.1,0.8069498069498069,1.6094420600858368
STU0125,Student_3129_125,Anna University,B.Sc Data Science,2025,7.2,51.4,20.9,25.8,97.0,48.8,63.2,46.8,0,1,0,0.0,Not Placed,48.4,2.45933014354067,1.5384615384615385
STU0126,Student_4898_126,IIT Hyderabad,BCA,2025,9.2,83.5,59.3,38.5,80.5,71.5,74.4,68.0,0,0,1,9.2,Full Stack Developer,71.1,1.4080944350758855,1.3529411764705883
STU0127,Student_8344_127,NSIT Delhi,BCA,2027,8.8,54.3,57.8,36.1,100.0,35.2,73.3,56.3,0,2,1,4.5,Junior Developer,63.4,0.9394463667820069,1.5630550621669628
STU0128,Student_9543_128,IIT Kharagpur,B.Tech AI&ML,2027,6.7,55.3,33.9,40.8,77.8,37.4,75.7,49.7,0,0,1,4.3,Technical Support,58.4,1.631268436578171,1.3480885311871227
STU0129,Student_8267_129,IIT Bombay,B.Tech ECE,2026,9.6,73.7,52.2,46.4,79.2,46.7,54.2,62.1,0,2,1,7.0,Junior Developer,71.1,1.4118773946360152,1.5458937198067633
STU0130,Student_7240_130,IIT Hyderabad,B.Sc Data Science,2026,8.0,77.9,47.3,75.1,51.6,44.8,73.1,64.0,12,2,1,8.2,Software Engineer,68.6,1.6469344608879495,1.25
STU0131,Student_4522_131,VIT Vellore,B.Tech AI&ML,2025,9.5,55.8,55.3,32.8,67.4,55.3,57.0,52.8,0,2,0,0.0,Not Placed,60.7,1.0090415913200723,1.7992424242424243
STU0132,Student_6120_132,VIT Vellore,BCA,2027,9.3,92.6,55.4,62.7,77.4,77.2,61.5,75.4,6,1,0,0.0,Not Placed,78.2,1.6714801444043321,1.23342175066313
STU0133,Student_2494_133,IIT Bombay,B.Tech ECE,2026,7.5,88.5,70.1,46.4,81.6,36.6,61.8,70.2,12,1,0,0.0,Not Placed,69.0,1.262482168330956,1.0683760683760684
STU0134,Student_6400_134,BITS Pilani,B.Tech ECE,2026,7.1,42.6,20.0,46.5,63.0,38.2,63.9,41.5,6,3,0,0.0,Not Placed,46.0,2.13,1.7108433734939759
